工作名稱,公司,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
【研發替代役】AI Engineer_人工智慧工程師,全曜財經資訊股份有限公司,"【工作內容】/[歡迎具111年度研發替代役資格者投遞履歷]At CMoney, our mission is to assist people in their lifelong investment. To this end,we have already launched several services and apps to help users to make decisionson different matters. So far CMoney has had the most popular stock mobile app andstock forum in Taiwan, where each has almost 800k monthly active users. Everydaymore than 100k articles and messages emerge from our apps and forum.Meanwhile, we collaborate with 50+ investment KOLs to help users succeed ininvestment. Currently, CMoney is at the fast-growing stage, and thus we are lookingfor brilliant talents to join our team, especially the ones with integrity, high socialinterest and growing mindset. For more detail of CMoney, please refer to thefollowing link: https://www.cmoney.tw/jobs/ .Our AI team focuses on utilizing natural language processing techniques includingtext classification and automatic summarization to enhance our products and to provide values to our users. Our AI team is also responsible for developing and establishing cross-product recommendation systems so that our products can offerbetter experience for the users. Moreover, our AI team has to design the scheme of lifelong machine learning to sustain our AI-powered services. If you not only love to keep track of the latest trend of AI development and techniques but also are passionate about implementing the relevant AI algorithms by yourself, we welcome you to join us.As such, you will:Design, develop, train, and integrate AI models to our services or productsAnalyze and diagnose the problems and bottlenecks of current AI modelsCollaborate with other product and data teams to propose and provide better solutionsMake CMoney service more intelligent, and make CMoney data more beneficial to the communityLast but not least make our customer success","軟體設計工程師,演算法開發工程師",待遇面議,全職,新北市板橋區,不需負擔管理責任,無需出差外派,日班,週休二日,可年後上班,1~2人【相關條件】/,"上班族,應屆畢業生,研發替代役",不拘,大學以上- 公司產業：電腦軟體服務業,"數學及電算機科學學科類,工程學科類,商業及管理學科類",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"C,C++,Java,Python","軟體程式設計,Machine Learning【其他條件】/","1. BS/MS/Ph.D in EE, CS, IM, Statistics, and Applied Math or related field2. Familiar with at least one of the following machine learning frameworks: Weka, Scikit learn, Spark, PyTorch, and Tensorflow3. Ability to collect the data, train models, fine-tune models, and deploy models4. Broad knowledge of deep learning, machine learning, statistics, and optimization5. Experience in training on large-scale (TB) datasets and training on distributed environment is a plus6.具111年度研發替代役資格者【公司福利】/- 福利制度：《薪酬福利＠CMoney》➡薪資及獎金、節金具競爭力的整體薪酬制度，提供「自提調薪制度」，吸引、激勵並留任優秀人才依當年公司營運狀況及個人績效表現提供具競爭力的薪資、專案獎金及年終獎金。➡基本保障除勞健保、勞退保障，另提供團體保險➡活動及補助活動類：節慶活動、尾牙、慶生會、不定期公司/部門聚餐、電影包場、多元化的社團活動、各式零食保健食品補助類(全職任職滿六個月)：健身房補助、國內外旅遊補助。生活類：美式雙門大冰箱、零食/保健食品、咖啡機。➡學習與成長我們非常重視員工成長，除了提供良好的工作與進修環境(CMoney教育訓練中心)，更享有免費資源學習投資理財、購書補助。➡快樂生活我們認為孩子的成長只有一次，凡撫養未滿10歲子女，每個出勤工作日可提前於17:30下班，讓你有更多時間陪伴家人(全職適用)。另有合作幼兒園/托兒機構優惠。更多關於CMoney▶招募專頁：http://www.cmoney.tw/jobs/compensation-and-benefits.aspx▶官方網站：http://www.cmoney.com.tw更多工作資訊請參考：https://www.104.com.tw/job/7e14y"
AI人工智慧工程師,智運國際科技股份有限公司,【工作內容】/1. 依專案需求進行數據整理、規劃與分析，設計AI模型   2. AI演算法開發設計運用 與模型整合  3. 規畫與架構標準化大數據分析流程   4. 協助相關數據分析,"軟體設計工程師,電信／通訊系統工程師,網路管理工程師","月薪31,000~50,000元",全職,台北市萬華區,不需負擔管理責任,無需出差外派,日班，0930~1830,週休二日,不限,1人【相關條件】/,"上班族,應屆畢業生,日間就讀中,夜間就讀中,外籍人士,原住民,二度就業",1年以上,不拘- 公司產業：電腦系統整合服務業,"數學及電算機科學學科類,運輸通信學科類,工程學科類",不拘,"C,C++,Python",不拘【其他條件】/【公司福利】/- 福利制度：法定項目勞保/健保/加班費/週休二日/生理假/特別休假/勞退提撥金      福利制度獎金類：年終獎金餐飲類：誤餐費設備類：員工健身房/交誼廳娛樂類：國內旅遊/員工聚餐/慶生會補助類：國內、外旅遊補助更多工作資訊請參考：https://www.104.com.tw/job/7etp6,無
期貨策略 AI 工程師 (AI Engineer),天鏡科技股份有限公司,"【工作內容】/你是對期貨買賣操作有想法的人嗎 ? 徵求期貨界的傑西.李佛摩 -「最活躍的美國股市投機客」，想挑戰高薪及持續性收入嗎 ? 我們歡迎您加入「策略無限 - 策略開發」團隊 !!* 我們有全世界最厲害的回測系統，您發想出來的策略，回測台灣期貨19年的交易資料只要5-10分鐘，其他的回測系統則需要3-4 個小時。5-10分鐘我們還不滿意呢， 1 秒內完成19年的回測是未來目標，這真的很 COOL。* 我們有全世界最厲害的雲端Google 主機自動下單系統，免盯盤、家中免電腦、APP接受下單成交推播，您發想的策略，第二天立刻投入實戰。Required Skills &amp; Experience• Experience of Deep Learning, machine learning and Artificial Intelligence with MS in Engineering, Mathematics, Computer Vision or Computer Science • Experience working with modern Deep Learning techniques, framework and applications, Python, DL framework (e.g Tensorflow, Keras, PyTorch...), C, C++, C# programming experience (One of them) • Experience working with Deep Learning projects • Good teamwork and interpersonal skills • Action oriented with good communication, analytical and problem-solving skills","演算法開發工程師,軟體設計工程師",待遇面議,全職,新北市新莊區,不需負擔管理責任,無需出差外派,日班，9 : 00~18 : 00,依公司規定,可年後上班,不限【相關條件】/,"上班族,應屆畢業生",不拘,專科以上- 公司產業：電腦系統整合服務業,不拘,不拘,不拘,不拘【其他條件】/【公司福利】/- 福利制度：1. 國家級的福利保障，享勞保、健保、男性員工陪產假、員工退休金制度...等等，國家保證的，我們一定給！2. 需要醣份補充腦袋嘛！？我們有吃不完的零食、飲料、咖啡，清單由你開。 3. 對進修有熱誠，看到什麼課都想上？我們有書籍、進修課程費用輔助，讓您可以一直提升自我4. 三節節日有獎金及禮品，讓您愉快的放假5. 不定期的員工聚餐新北總公司工作環境:* 視野遼闊，新莊運動公園第一排樹海美景，交通便利，近新莊捷運站 * 百坪員工宿舍和交誼廳* 開放式工作空間，拉近溝通距離高雄分公司工作環境 (駁二共創基地):* 各空間內的全景落地窗，在工作之餘可以一覽高雄港壯闊港灣景色，感受駁二濃厚藝文氛圍* 小巧精緻的廚藝教室，提供各式基本廚藝設備，及用餐區域供夥伴共同創作交流* 共創基地提供多元化的服務，希望凝聚更多不同產業群聚，增進異業結盟之媒合機會更多工作資訊請參考：https://www.104.com.tw/job/5sdae,無
人工智慧工程師,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),【工作內容】/★Make a Difference新光金控致力於成為最懂客戶需求的數位金融領導品牌。我們相信，融入客戶生活，聆聽客戶聲音，運用科技創造不凡體驗，才能創造企業持續成長的價值。面對金融科技的浪潮與挑戰，我們需要有共同信仰的你加入，一起翻轉數位金融的旅程 “Make a Difference”。在這裡你將負責的任務&gt; (1) 具有獨立AI研發與佈署能力，包含AI環境佈署與框架運用、機器模型建立、演算法引用研發等。 (2) 與子公司及外部技術夥伴進行深度技術合作，用以解決金融實務問題與改善內外部客戶/員工歷程。 (3) 評估外部合作夥伴之技術深度與廣度適用性。 (4) 運用RPA自動化流程開發並適時研究搭配AI相關應用於自動化流程。必要條件&gt;1. 具備深度學習開源框架技能，例如Tensorflow或Pytoch或Keras等。2. 熟悉基礎的機器學習方法並可充分應用於金融相關場景，例如預測模型、風險模型、徵審模型等。3. 具有Python或C/C++程式語言與機器學習相關技能，例如DNN、CNN、 RNN等。4. 注重細節的團隊合作者，具有良好的溝通與表達能力。5. 面試時可附上個人side project或研發成果簡報相關資料以利佐證。＜加分條件＞1. 資料科學、資訊工程、資訊管理或相關領域的學位。2. 曾在金融業工作/實習或是有服務過金融客戶有關人工智慧研發經驗者佳。3. 個性積極、具有挑戰創新的熱忱、自我管理能力佳，對於AI研發與科技應用具有熱情。4. 具備人工智慧相關特定領域經驗佳 e.g. NLP、ASR、生物辨識、推薦系統等。,"演算法開發工程師,軟體設計工程師,其他資訊專業人員",待遇面議,全職,台北市中正區,不需負擔管理責任,無需出差外派,日班，8:30~17:30,依公司規定,不限,1~2人【相關條件】/,"上班族,應屆畢業生,二度就業",不拘,大學以上- 公司產業：金融控股業,不拘,不拘,"C,C++,Python",不拘【其他條件】/,【專業能力】• 熟悉開源機器學習或深度學習框架之架構設計與建模經驗• 瞭解金融產業相關人工智慧應用現況並具備想法• 具備專案管理與執行能力【團隊文化】1. SPARK: Think Strategically. Be Professional. Be Adaptive. Relationship-led. Keep Going.保持策略思考、具專業性、高適應性、團隊合作，並持續向目標前進2. Go The Extra Mile.             從做好到不凡3. Stay Hungry. Stay Foolish.       持續好奇與學習4. Hack Everything.               樂於拆解問題5. Embrace Uncertainty.           擁抱變動環境下的機會6. Think Outside the Box.          突破傳統框架的思考7. Have A Can-do Attitude.         不自我設限的勇氣8. Own A Growth Mindset.         自我追求成長的精神【公司福利】/- 福利制度：新光提供之員工福利包括年節獎金、員工持股信託、婚喪禮金、生日禮品、員工福利保險、員工房貸優惠、健全的退休金制度、每年定期免費的健康檢查及不定期的醫療優惠方案，職工福利社、員工餐廳及多樣的關係企業優惠員購方案等。更多工作資訊請參考：https://www.104.com.tw/job/7c0sd
AI工程師,宏虹電子科技有限公司,【工作內容】/***歡迎應屆畢業生***我們是一群年輕的團隊，鼓勵個人追求卓越表現，也提供暢通的升遷管道、職涯發展，宏虹也相當注重員工的工作環境，提供下午茶、聚餐、party等多樣福利~ 宏虹耕耘的領域包括數據採集、無線電通信與監測、網絡可視化、測試測量、汽車電子、自動化和嵌入式開發工具，如果你對宏虹有興趣，且對於自己在AI、數據分析、人工智慧等技術方面的能力有信心，也對於自己未來工作發展有想法，歡迎與我們聯繫~工作職責:1.從事人工智能、機器學習、大規模分佈式系統領域前沿算法及應用的研究分析；2.有效率辨識與選擇適合之AI技術進行模型開發(建模、分類、驗證、預測...)並解決問題；3.負責人工智能項目技術方案的開發、制定以及交付；4. 跟進最新AI技術進展及評估效益，並根據需求提供解決方案、技術支持；5. 其它主管交辦事項。,"軟體設計工程師,演算法開發工程師,Internet程式設計師","月薪40,000元以上",全職,桃園市蘆竹區,不需負擔管理責任,需出差，一年累積時間未定,日班，09:00~18:00,週休二日,不限,1~3人【相關條件】/,應屆畢業生,不拘,大學以上- 公司產業：綜合商品批發代理業,不拘,不拘,不拘,不拘【其他條件】/,"*需為應屆畢業生or工作經驗1-2年以內職位要求：1. 大學及以上學歷，資工、資管等相關學系所畢業佳；2.至少熟悉一種可開發量化交易工具Python、R、SAS、JAVA、C#、C++等；3.有進行統計分析、資料建模、自主研發量化交易策略能力；4.熟悉Linux操作系統、機器學習算法和深度學習框架佳；5.在機器學習與人工智慧領域有相關學習，或有機器學習相關的論文或專案經驗者佳。【公司福利】/- 福利制度：◆獎金/禮品類1.年終獎金2.三節禮金/禮品3.生日禮金◆請/休假制度1.週休二日2.特休/年假3.婚/產/陪產/育嬰/家庭照顧假4.女性員工生理假◆活動福利類1.下午茶零食櫃2.定期員工聚餐(兩週一次)3.月末party4.員工年度旅遊補助◆其他1.員工每年健康檢查2.手機門號補助(視職務需求發放)3.員工機車停車補助年終獎金,三節獎金/禮品,零食櫃,部門聚餐,慶生會,員工停車位,免費下午茶更多工作資訊請參考：https://www.104.com.tw/job/75cky"
AI工程師//資料科學家/機器學習工程師/資料工程師,天益教育科技有限公司,"【工作內容】/本公司是醫教整合的新創公司主要是將幼兒能力數據可視化進行分析並且以大數據庫為驅動推薦最適性培育方案給老師並且長期追蹤了解孩子的成長軌跡進而持續修正演算法則與內容公司的技術核心就是做到『精準教育』。所以誠摯地邀請你如果你具備數據演算的相關專長同時你也熱愛與孩子相關的工作內容歡迎你加入我們！★工作描述1. 使用資料科學技術剖析數據，協助產品成效優化及發展方向2. 負責資料收集、資料清理、模型建置等工作事項3. 協助處理網路使用者觀看的文本，進行關鍵字擷取、文本分類等NLP任務4. 廣告推薦系統建置及優化5. 數據視覺化報表產出★能力要求1. 熟悉 ML 相關知識2. 熟悉Python程式語言，包含Pandas, Numpy, Sklearn,Tensorflow, Pytorch等模組3. 熟悉Linux 系統操作4. 熟悉資料庫程式語言 SQL★希望你有1. 推薦系統處理專案經驗佳2. 自然語言處理專案經驗佳3. 曾參與ML相關研究、競賽或發表論文經驗佳4. 具有統計學專長5. 具有分散式運算的相關知識，如 Spark、Hadoop、Hive6. 有使用過GCP, AWS 等雲端服務經驗佳","演算法開發工程師,其他資訊專業人員,軟體設計工程師","月薪40,000元以上",全職,新北市中和區,不需負擔管理責任,無需出差外派,日班/晚班,依公司規定,不限,1~2人【相關條件】/,上班族,不拘,大學以上- 公司產業：其他教育服務業,不拘,不拘,不拘,"系統架構規劃,系統整合分析,軟體工程系統開發,Machine Learning,資料庫軟體應用【其他條件】/【公司福利】/更多工作資訊請參考：https://www.104.com.tw/job/7fm1t",無
AI工程師(台北總公司),東和鋼鐵企業股份有限公司,【工作內容】/1.負責AI、Big Data專案之開發、建置與推廣2.具資料科學基本概念和技能3.有AI程式開發經驗者佳4.具工作熱忱、團隊精神和責任感,"演算法開發工程師,軟體設計工程師,Internet程式設計師",待遇面議,全職,台北市中山區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1人【相關條件】/,上班族,不拘,大學以上- 公司產業：鋼鐵基本工業,資訊工程相關,不拘,不拘,不拘【其他條件】/【公司福利】/- 福利制度：1.勞健保、團保（壽險、意外險）。2.盈餘獎金、年終獎金、提案獎金。3.員工分紅認股制度、退休制度、退休紀念金幣、模範勞工表揚。4.傷病慰問、急難救助。5.全方位訓練課程及圖書室。6.完善健康檢查（工廠設立醫護室及職業醫學專科醫師諮詢服務）。7.福利委員會 （三節禮金、生日禮金、勞動節禮金、員工旅遊、生育補助、婚喪禮金、子女教育獎學金、社團活動）。8.企業工會。9.總公司優質辦公環境，彈性化上下班制度及慶生會活動。10.各工廠設置員工餐廳及宿舍。更多工作資訊請參考：https://www.104.com.tw/job/71ewl,無
【2021重點職缺專區】AI人工智慧工程師,資策會_財團法人資訊工業策進會,【工作內容】/1.開發智慧健康 / 智慧運動等人工智慧應用服務2.數理統計 / 資料探勘 / 機器學習 / 人工智慧演算法實作與系統整合開發3.數據資料分析應用4.撰寫技術文件和設計規格5.影像處理/ 即時資料處理/ 語言處理,"軟體設計工程師,系統分析師,演算法開發工程師","月薪42,000元以上",全職,台北市松山區,不需負擔管理責任,無需出差外派,日班，09:00-18:00,依公司規定,不限,2~4人【相關條件】/,"上班族,應屆畢業生,中壯齡",不拘,碩士- 公司產業：電腦軟體服務業,"資訊管理相關,資訊工程相關,電機電子工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"Linux,UNIX,Git,Python,Excel,PowerPoint,Word",不拘【其他條件】/,此為校園徵才專區職缺，將於收到履歷後，轉推薦需求主管後安排面試。若符合以下條件尤佳：1.熟悉Python2.熟悉Tensorflow / Keras3.具CNN / RNN / Reinforcement Learning / GAN相關研究實作經驗4.具Git / Docker經驗尤佳5.具穿戴 / IoT裝置（例如智慧手環 / 影像串流）資料分析經驗尤佳6.熟悉Unix / Linux環境7.能獨立作業，並與團隊協作8.需熟悉Excel、PowerPoint、Word操作【公司福利】/- 福利制度：提供您樂在工作、勁在工作、享受工作的環境： 1.彈性到班2.便捷的工作地點3.專利獎金4.卓越技術貢獻獎勵5.績優人員表揚6.優於勞基法的特休假7.生日賀禮8.優厚獨特的退職金制度9.照顧全家人的團保計畫10.身心平衡的員工旅遊補助11. 貼心規劃的健康檢查12.體恤員工的結婚、生育及喪葬補助13.豐富多元的福利活動14.語文及學位進修補助15.素質優良的同儕環境更多工作資訊請參考：https://www.104.com.tw/job/7786r
研發中心-AI工程師【高雄】,采威國際資訊股份有限公司,【工作內容】/1. 負責公司AI演算法架構制定與軟體系統的研發工作2. 根據專案開發要求，進行系統架構設計、軟體程式撰寫、演算法調優等工作3. AI模型部署至公有雲平台，並提供API和服務供其他雲端服務串接4. 配合專案進度，協同執行專案相關工作5. 主管交辦事項,"軟體設計工程師,其他資訊專業人員,Internet程式設計師",待遇面議,全職,高雄市前鎮區,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,不限【相關條件】/,上班族,3年以上,大學以上- 公司產業：電腦軟體服務業,不拘,不拘,不拘,不拘【其他條件】/,"1. 熟悉一種或幾種主流機器學習框架（如TensorFlow / Pytorch / Caffe等）2. 熟悉數據分析，系統開發，使用過AWS、GCP、Azure等平台開發AI System【公司福利】/- 福利制度：為招攬並留住優秀人才，除提供具有競爭力薪資外，也設計內外部教育訓練課程與晉升機制。逾76%主管職，由內部培養晉升。此外，員工起薪3萬元以上，並每年固定調薪，近五年平均調薪人次&gt;52%，平均調薪幅度&gt;7.8%。◆ 『采威人的薪獎與健康保障』 1. 年終獎金  2. 業務獎金  3. 專案獎金  4. 三節禮金/禮品  5. 生日禮金  6. 結婚禮金  7. 生育禮金  8. 人才推薦獎金(最高可達20,000元)9. 喪葬補助  10. 勞保/健保/勞退  11. 每年員工健康檢查 ◆ 『采威人的晉升與共同成長』 1. 順暢的升遷管道 2. 公開透明的晉升考試制度 3. 新進人員Mentor制度 4. 多元化專業訓練課程 5. 定期資訊技術分享會 6. 學習成長補助 7. 主管培訓課程 8. 團體讀書會 ◆ 『采威人的休假與生活關懷』 1. 年休假/特休  2. 加班補休假  3. 女性生理假  4. 產檢假  5. 男性陪產假  6. 家庭照顧假  ◆ 『采威人的娛樂休閒大件事』 1. 國外旅遊補助 2. 豐富下午茶點免費享用 3. 新進人員聚餐補助 4. 年度大型運動會 5. 我們注重員工的健康 : 采威社團- 羽球社、籃球社；免費瑜珈及有氧運動、 健身房補助 6. 凝聚力的部門聚餐活動 7. 包場電影欣賞 8. 不定期員工聚會活動 9. 特約商店(好評增加中)  10. 尾牙活動 國外旅遊,部門聚餐,員工認股,結婚禮金,社團補助,員工進修補助,健身費用補助,年終獎金,零食櫃,咖啡吧更多工作資訊請參考：https://www.104.com.tw/job/786hw"
Machine Learning/ AI Engineer深度學習工程師,淇譽電子科技股份有限公司,【工作內容】/針對生理音（廔管音、心音、肺音）需要進行AI分析,"軟體設計工程師,演算法開發工程師,系統分析師",待遇面議,全職,新北市中和區,不需負擔管理責任,無需出差外派,日班，9:00~18:00,週休二日,不限,1人【相關條件】/,"上班族,應屆畢業生",不拘,大學、碩士- 公司產業：消費性電子產品製造業,"資訊工程相關,電機電子工程相關",不拘,"C,C++,Java,Python,Ruby","軟體工程系統開發,資料通訊與網路應用,軟體程式設計【其他條件】/","肯學習、易溝通，具備相關領域學位或工作經驗佳【公司福利】/- 福利制度：◆ 激勵獎酬	1.年終獎金                     2.員工分紅 ◆ 獎金/禮品類	1.三節禮券	2.勞動節禮券                     3.生日禮券◆ 保險類	1.勞保	2.健保	3.團保◆ 休閒類	1.旅遊	2.慶生會                     3.書報雜誌閱覽區                     4.員工健身活動區                     5.咖啡零食區                    6.員工聚餐                    7.年終尾牙晚會            ◆ 制度類	1.完整的管理制度                     2.教育訓練	3.順暢的升遷管道◆ 請 / 休假制度	1.週休二日	2.特休假	3.女性同仁生理假                     4.陪產/產檢假◆ 其他	健康檢查◆ 補助類	1.婚喪喜慶補助	2.生育津貼	3.住院慰問金   更多工作資訊請參考：https://www.104.com.tw/job/6ewsa"
AI工程師,美商艾必威科技有限公司台灣辦事處,"【工作內容】/1. 基於音樂之數據資料前期處理, 包含數據清洗, 特徵擷取, 數據相關性分析.2. 音樂演算法開發與最佳化, 模型建立, 預測, 分類及驗證.3. 基於音樂之機器學習/辨識, 深度學習或其他相關演算法應用.其他:1. 良好溝通, 自主學習2. 具軟體分析開發熱誠3. 跨部門溝通協調關於公司相關資訊，您可以透過以下網址了解我們:iBUYPOWER: https://www.ibuypower.com/company ","軟體設計工程師,演算法開發工程師,系統分析師",待遇面議,全職,新北市土城區,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,不限,1人【相關條件】/,"上班族,應屆畢業生",不拘,大學以上- 公司產業：電腦及其週邊設備製造業,"資訊工程相關,數理統計相關,應用數學相關",不拘,"C,C#,C++,Python",軟體程式設計【其他條件】/【公司福利】/- 福利制度：【法定項目】暫不提供【其他福利】暫不提供◆ 獎金/禮品類1.年終獎金◆ 保險類1.勞保2.健保◆ 休閒類1.部門聚餐2.慶生會◆ 制度類1.績效獎金2.員工提案獎金◆ 請 / 休假制度1.週休二日2.特休/年假3.不扣薪病假◆ 補助類1.結婚禮金2.員工進修補助3.退職金提撥4.交通補助更多工作資訊請參考：https://www.104.com.tw/job/764ci,無
B13人工智慧工程師,晉弘科技股份有限公司,"【工作內容】/1.	影像處理演算法開發與維護2.	機器學習(Machine learning)演算法研發與應用3.	資料前處理與建模4.	Python/C/C++ 軟體開發經驗","軟體設計工程師,演算法開發工程師,韌體設計工程師",待遇面議,全職,新竹市,不需負擔管理責任,需出差，一年累積時間未定,日班，09:00-18:00,依公司規定,不限,1~2人【相關條件】/,應屆畢業生,不拘,碩士- 公司產業：醫療器材製造業,資訊工程相關,不拘,不拘,不拘【其他條件】/【公司福利】/- 福利制度：三節獎金、團體保險、績效獎金、團膳用餐補助、國內外出差交通補助、文康活動、員工旅遊 、福委會各類補助、社團活動補助、年度健檢、教育訓練。更多工作資訊請參考：https://www.104.com.tw/job/7enpl,無
資深ASP.NET工程師,風行天股份有限公司,【工作內容】/風行天是FINTECH與AI的領導公司，是一個年輕有活力的團隊，在業界享譽卓著。我們歡迎有熱情有能力的ASP.NET工程師加入我們。我們開發、設計平台與產品，提供企業在業務外勤上的管理工具提升效率，也提供獨特的匯兌風險管理平台，協助企業管理風險。所以您在這裡除了可以貢獻所學，還能借由互相學習提昇自我。具積極進取跟願意接受挑戰就是我們需要的人才！工作內容：1. 開發環境 : ASP .Net Core 22. 前端開發 : Angular6、Inoic3. 前後端介接 : GraphQL、WebAPI4. 資料庫 : Entity Framework、MS-SQL5. 與行動裝置應用技術結合,"軟體設計工程師,Internet程式設計師,網頁設計師","月薪50,000~100,000元",全職,台北市中山區,不需負擔管理責任,無需出差外派,日班，上班時間09:00~18:30 (午休12:00~13:30),週休二日,不限,2~4人【相關條件】/,"上班族,二度就業,中壯齡",2年以上,大學以上- 公司產業：其它軟體及網路相關業,"資訊管理相關,資訊工程相關",不拘,"ASP.NET,PHP,MS SQL,MySQL,JavaScript,jQuery","系統架構規劃,軟體程式設計,網路程式設計,資料庫程式設計【其他條件】/",加分條件 :1. 具備工作熱誠與良好的研究精神2. 具備三年(含)以上程式開發維護工作經驗3. 具備 SPA 架構開發經驗4. 熟悉MSSQL資料庫工具操作5. 了解WebService及WebAPI概念6. 了解RESTful軟體架構觀念7. 具備 CSS 微調能力8. 具財務系統建置、維護經驗加分【公司福利】/- 福利制度：我們贊成員工「work hard and play hard」，也認同愉快的上班場所需要每一位員工一起來創造。因此風行天提供以下福利，希望能營造一個「work and life balance」的快樂工作環境：【法定義務】 ● 勞保 ● 健保 ● 6%勞退【獎金】 ● 年終獎金(依公司營運狀況及個人績效核發) ● 業務、PM及工程團隊績效獎金；業務另享季獎金及年獎金(皆按公司獲利程度與職務類別、個人績效核發)【休閒】 ● 每季一次的慶生下午茶會 ● 每年一次的尾牙 ● 不定期的主管outing、公司聚餐及下午茶 ● 專屬零食區【完善制度】 ● 良好的教育訓練 ● 透明的升遷管道 ● 順暢的團隊溝通 ● 人性化的經營理念【請 / 休假福利】 ● 週休二日 ● 優於勞基法：正職人員第一年即享有7天按比例特休假、1天生日假、2天健身購物假、以及不定期的2小時Early Home。更多工作資訊請參考：https://www.104.com.tw/job/7cndl
人工智能CV算法工程師 (AI CV Algorithm Engineer),羅傑斯人工智能股份有限公司,"【工作內容】/任職條件:  1. 對人工智慧算法研發有強烈熱誠與興趣。  2. 計算機，電子工程，自動化方向相關學歷，有機器學習或深度學習研究背景。  3. 熟悉 C++和Python編程，具有算法實現能力。  4. 熟悉CV演算法，並能針對現有神經網路模型(如: 物件/人臉偵測、人臉辨識)進行加速及優化   5. 不怕困難，有毅力獨立思考及解決問題能力。具以下實作經驗者佳,1.	人臉偵測 / 人臉辨識2.	CNN模型壓縮3.	生成對抗網路 (GAN)4.	姿態追蹤運動系統5.	物件體積量測系統6.	熟悉分散式運算、平行運算提供可參考電腦視覺相關開發專案, 如github 尤佳","演算法開發工程師,軟體設計工程師,韌體設計工程師",待遇面議,全職,台北市大同區,管理4人以下,無需出差外派,日班,週休二日,可年後上班,1人【相關條件】/,上班族,5年以上,大學、碩士- 公司產業：電腦軟體服務業,"資訊工程相關,電機電子工程相關",不拘,不拘,不拘【其他條件】/,"曾在下列會議或期刊發表作品優先錄取CVPR: International Conference on Computer Vision and Pattern RecognitionICCV: International Conference on Computer VisionAAAAI: AAAI Conference on Artificial IntelligenceICML: International Conference on Machine LearningNIPS: Annual Conference on Neural Information Processing SystemsJCAI: International Joint Conference on Artificial IntelligenceTPAMI: IEEE Trans on Pattern Analysis and Machine IntelligenceIJCV: International Journal of Computer VisionTIP: IEEE Transactions on Image Processing【公司福利】/- 福利制度：1、 驚喜人生大事祝福禮公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 2、鼓勵生育  0~6歲公司幫忙養入職後懷孕生子, 公司補助保母費用, 減輕員工負擔3、競爭力薪酬獎金制度 提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 4、員工保險 除勞健保外，提供額外員工醫療團體保險。 5、特休假制度 優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 6、多元福利活動與津貼 不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 7、優質工作環境 總部位於台北市中心、交通暢行無阻。 8、 國際化職場環境 能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。更多工作資訊請參考：https://www.104.com.tw/job/6my9d"
